TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;22,60;;-11,74;2,72;1,02;30,02;-2,95;-21,00;-83,45;-108,93;-25,48;0,83;2,46;-13,77;-1,25;0,71;-23,20;-8,71;-2,28;0,38;0,62;0,41;0,13;;7.713.509,66;8,30;-1,93;0,00;2.673.417.641,60
ABCB4;16,42;6,60;4,64;0,71;0,07;35,76;27,56;19,63;3,30;3,31;;;0,91;0,98;-0,07;3,58;15,37;1,41;;0,09;0,91;0,07;18,70;13,36;12.118.964,23;23,02;3,54;0,12;3.714.660.638,74
ABEV3;14,62;5,21;15,93;2,76;1,67;49,29;22,15;18,14;13,04;12,36;-0,66;-0,14;2,89;-84,54;-2,30;0,93;17,35;10,48;19,52;0,60;0,40;0,58;10,72;14,74;450.154.819,34;5,29;0,92;1,13;229.953.166.024,60
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,42;;-11,74;1,23;0,29;11,93;8,65;-3,76;5,10;8,60;3,54;0,85;0,44;0,86;-0,92;1,95;-10,48;-2,46;7,31;0,23;0,77;0,65;;;6.528.625,74;1,15;-0,12;0,05;1.080.360.972,96
AESB3;10,42;1,03;41,90;1,13;0,33;31,84;24,53;5,26;8,99;19,18;10,19;1,28;2,20;2,13;-0,44;2,60;2,69;0,79;3,82;0,29;0,71;0,15;;;26.340.460,20;9,26;0,25;;6.272.082.580,62
AFLT3;9,00;;15,14;2,18;1,89;61,82;53,18;52,03;14,82;14,27;-0,55;-0,08;7,88;11,81;-2,45;3,34;14,38;12,47;13,28;0,87;0,13;0,24;24,96;24,53;7.215,42;4,13;0,59;-0,24;567.762.300,00
AGRO3;24,01;13,49;17,31;1,20;0,73;23,11;15,40;11,02;12,39;15,22;2,84;0,27;1,91;3,87;-1,17;1,99;6,92;4,22;4,74;0,61;0,39;0,38;59,78;39,06;11.636.004,60;20,04;1,39;-0,22;2.457.048.192,00
AGXY3;6,86;2,45;41,92;0,78;0,12;12,52;4,55;0,24;2,22;3,89;1,67;0,59;0,10;1,15;-0,69;1,14;1,86;0,28;12,79;0,15;0,85;1,17;;;294.048,00;8,79;0,16;-0,55;1.170.151.174,65
AHEB3;20,00;;2,64;-30,06;0,52;45,89;27,17;21,41;2,08;1,57;-0,51;;0,57;8,77;-0,79;1,20;-1.138,68;19,53;-9.916,46;-0,02;1,02;0,91;20,77;;2.000,00;-0,67;7,58;-0,01;170.879.240,17
AHEB5;22,00;;2,90;-33,06;0,57;45,89;27,17;21,41;2,29;1,57;-0,51;;0,62;9,65;-0,87;1,20;-1.138,68;19,53;-9.916,46;-0,02;1,02;0,91;20,77;;;-0,67;7,58;-0,02;170.879.240,17
AHEB6;20,01;;2,64;-30,07;0,52;45,89;27,17;21,41;2,08;1,57;-0,51;;0,57;8,78;-0,80;1,20;-1.138,68;19,53;-9.916,46;-0,02;1,02;0,91;20,77;;2.001,00;-0,67;7,58;-0,01;170.879.240,17
ALLD3;4,62;20,02;5,66;0,29;0,12;15,07;4,04;1,48;2,08;4,42;2,35;0,33;0,08;0,42;-0,38;1,68;5,08;2,06;8,62;0,41;0,59;1,39;14,71;32,15;124.258,43;16,09;0,82;-0,08;429.746.883,02
ALPA3;8,26;;46,45;0,98;0,66;46,10;4,81;2,90;28,06;29,26;3,12;0,11;1,35;2,48;-1,19;2,52;2,11;1,43;1,62;0,68;0,32;0,49;2,36;-19,63;114.717,20;8,43;0,18;-0,56;5.257.356.645,20
ALPA4;7,24;;40,72;0,86;0,58;46,10;4,81;2,90;24,59;29,26;3,12;0,11;1,18;2,17;-1,05;2,52;2,11;1,43;1,62;0,68;0,32;0,49;2,36;-19,63;63.009.167,09;8,43;0,18;-0,49;5.257.356.645,20
ALPK3;1,23;;-1,64;0,62;0,10;28,49;6,81;-14,45;3,48;19,68;16,25;2,89;0,24;-0,42;-0,12;0,30;-37,78;-6,27;3,96;0,17;0,83;0,43;3,17;;379.811,77;1,99;-0,75;0,06;259.456.092,83
ALSO3;18,42;2,08;67,82;1,34;0,86;127,89;98,04;14,03;9,70;7,34;-2,35;-0,33;9,51;4,70;-1,17;3,22;1,98;1,27;13,41;0,64;0,36;0,09;25,65;2,40;74.797.781,06;13,72;0,27;-1,57;10.560.439.125,60
ALUP11;26,26;5,48;8,71;0,77;0,29;81,93;74,76;23,96;2,79;5,93;3,14;0,87;2,09;2,84;-0,35;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;35.203.222,06;34,03;3,01;-0,49;7.999.912.410,00
ALUP3;8,79;5,46;8,75;0,77;0,29;81,93;74,76;23,96;2,80;5,93;3,14;0,87;2,10;2,85;-0,36;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;241.188,37;11,34;1,00;-0,50;7.999.912.410,00
ALUP4;8,75;5,49;8,71;0,77;0,29;81,93;74,76;23,96;2,79;5,93;3,14;0,87;2,09;2,84;-0,35;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;442.409,29;11,34;1,00;-0,49;7.999.912.410,00
AMAR3;0,63;;-0,55;0,33;0,06;39,60;-6,84;-14,22;-1,15;-8,92;-7,78;2,26;0,08;1,55;-0,12;1,09;-60,56;-11,28;-10,11;0,19;0,81;0,79;-0,89;;7.910.373,83;1,88;-1,14;0,00;215.991.034,56
AMBP3;21,14;1,43;37,43;1,84;0,24;22,18;18,78;1,68;3,35;9,26;5,89;3,23;0,63;0,93;-0,44;2,41;4,91;0,65;7,36;0,13;0,87;0,38;83,52;66,36;24.438.491,77;11,51;0,56;-0,67;2.399.881.245,00
AMER3;1,13;;23,78;0,07;0,02;30,68;4,18;0,15;0,87;8,52;7,64;0,59;0,04;0,12;-0,04;1,84;0,28;0,10;1,24;0,35;0,65;0,65;21,42;;43.937.335,71;16,74;0,05;-0,62;1.028.883.633,42
ANIM3;2,21;;-8,73;0,28;0,08;57,66;10,61;-2,87;2,36;13,50;11,12;1,31;0,25;1,60;-0,11;1,31;-3,19;-0,95;-0,56;0,30;0,70;0,33;27,79;;25.344.448,37;7,93;-0,25;-0,52;896.588.747,10
APER3;28,40;0,24;12,23;0,69;0,42;100,00;7,70;10,95;17,39;11,03;-6,36;-0,25;1,34;6,97;-0,57;1,31;5,64;3,46;0,94;0,61;0,39;0,32;22,90;;1.521.846,63;41,17;2,32;0,02;326.035.805,60
APTI3;197,64;;-0,15;0,02;0,01;93,87;-96,49;-60,81;-0,09;-0,81;0,30;-0,06;0,09;0,03;-0,01;4,83;-12,15;-5,27;-22,85;0,43;0,57;0,09;4,07;;;11.153,64;-1.355,47;0,00;44.442.750,00
