title,dividend_yield,p_vp,daily_liquidity,net_worth,star_dy,star_pvp,star_dl,star_nw
SNAG11,"8,73","1,0",769865,300918000,False,False,True,True
VICA11,"6,29","0,0",0,0,False,True,False,False
HGAG11,"84,67","1,55",25350,5881000,True,False,False,False
IAGR11,"1,43","0,96",29300,25438275,False,False,False,False
OIAG11,"13,83","1,11",198397,40767000,False,False,False,False
NCRA11,"18,07","0,99",167788,43253000,False,False,False,False
PLCA11,"10,18","0,9",70925,53024000,False,False,False,False
AGRX11,"9,95","1,05",148195,56398000,False,False,False,False
DCRA11,"15,53","0,92",191445,64570000,False,False,False,False
LSAG11,"18,12","1,06",45680,81085000,False,False,False,False
JGPX11,"14,74","0,98",156210,81715000,False,False,False,False
