TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;68,61;0,500000;8,45;91,80;0,75;57.692,07;1,56;10,96;-8,96;432.278.740,15;18.503,00;Passiva;4.709.082,00
AFHI11;96,25;1,100000;14,08;95,10;1,01;936.193,10;6,16;;;287.147.972,33;19.219,00;Ativa;3.019.453,00
AIEC11;66,37;0,780000;13,62;94,40;0,70;539.145,80;0,60;;;455.490.836,76;12.765,00;Ativa;4.824.987,00
ALMI11;792,00;0,371133;0,00;2.025,22;0,39;48.566,83;1,96;;-16,29;225.157.970,44;2.463,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;91,87;0,850000;13,09;90,23;1,01;77.277,90;4,68;;;62.365.462,87;3.690,00;Ativa;691.192,00
ALZR11;113,30;0,815755;12,68;106,08;1,07;2.104.082,60;5,96;31,85;-5,05;734.402.837,11;120.727,00;Ativa;6.922.906,00
ANCR11B;3.450,00;42,077240;4,55;3.574,17;0,97;;1,48;;5,36;1.698.863.337,72;67,00;Ativa;475.316,00
APTO11;9,67;0,110000;13,09;10,02;0,97;41.779,17;10,18;;;40.188.993,12;7.385,00;Ativa;4.012.857,00
APXM11;0,00;;0,00;99,75;;;101,08;;;88.704.046,45;116,00;;889.230,00
AQLL11;385,03;;0,00;984,90;0,39;;0,36;;-8,34;143.616.026,19;58,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;0,00;0,003300;0,00;1,06;;;1,73;;;163.059.094,15;51,00;Ativa;153.379.216,00
ARRI11;8,64;0,110000;16,17;8,89;0,97;242.746,77;1,76;11,85;2,05;116.100.222,07;23.007,00;Ativa;13.056.237,00
