TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,44;;27,53;0,59;0,16;100,00;121,48;16,12;6,22;19,85;16,20;2,59;4,44;;-0,16;;2,13;0,57;4,14;0,27;0,73;0,04;-25,44;-20,59;;7,59;0,16;;125.920.176,00
AAT;22,33;5,82;27,60;1,11;0,45;63,63;28,52;11,45;5,47;24,24;13,15;1,32;3,16;;-0,45;;4,04;1,63;4,20;0,40;0,60;0,14;6,06;8,39;;20,05;0,81;;1.355.806.144,00
ABR;16,46;12,21;9,77;0,99;0,18;98,77;441,34;125,83;2,64;13,55;10,76;3,81;12,30;;-0,18;;10,10;1,84;6,57;0,18;0,82;0,01;3,69;34,73;;16,68;1,68;;2.981.911.706,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;19,33;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;10,58;12,48;80,96;0,81;0,24;;;;7,18;24,64;17,80;2,10;;;-0,24;;0,99;0,29;3,50;0,29;0,71;0,00;;-0,41;;13,14;0,13;;578.431.876,00
ADC;64,41;4,47;39,89;1,25;0,86;87,68;50,63;32,85;14,45;34,61;8,73;0,42;13,10;;-0,86;;3,14;2,15;3,35;0,69;0,31;0,07;30,97;21,27;;51,47;1,61;;6.002.908.944,00
AFCG;13,59;15,89;7,77;0,82;0,62;;;;7,80;6,51;0,16;0,02;;;-0,62;;10,59;7,99;10,01;0,75;0,25;0,00;;;;16,52;1,75;;278.003.835,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;5,02;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;15,66;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;15,85;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;9,73;14,80;-8,06;0,74;0,09;;;;10,20;34,30;18,06;0,83;;;-0,09;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;13,08;-1,21;;5.796.277.760,00
AGNCM;22,95;7,49;-19,01;1,75;0,21;;;;24,07;34,30;18,06;0,83;;;-0,21;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;13,08;-1,21;;5.796.277.760,00
AGNCN;25,57;8,92;-21,19;1,95;0,23;;;;26,82;34,30;18,06;0,83;;;-0,23;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;13,08;-1,21;;5.796.277.760,00
AGNCO;23,10;7,03;-19,14;1,77;0,21;;;;24,23;34,30;18,06;0,83;;;-0,21;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;13,08;-1,21;;5.796.277.760,00
