TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;120,41;0,72;26,85;6,33;3,25;54,55;24,29;19,09;21,11;22,13;1,02;0,31;5,13;16,58;-5,19;2,11;23,59;12,12;16,45;0,51;0,49;0,63;8,90;12,89;;19,01;4,48;;35.520.950.000,00
AA;33,69;1,19;-7,30;1,28;0,42;11,78;-1,13;-6,96;-44,85;-58,18;-13,33;0,38;0,51;2,78;-0,64;1,78;-17,55;-5,73;-8,18;0,33;0,67;0,82;1,34;;;26,29;-4,61;;6.010.346.535,00
AACG;1,49;;-4,54;2,06;0,65;51,68;-31,49;-32,34;-4,67;-4,06;0,61;-0,27;1,47;-1,41;-0,76;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;106,31;;;0,72;-0,33;;47.062.991,00
AACQ;9,99;;-93,43;180,94;1,25;;;;-27,75;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;-30,69;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;-6,94;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;14,35;;5,29;-1,62;0,14;59,09;8,28;3,39;2,16;7,41;5,25;;0,18;-1,35;-0,19;0,72;-30,71;2,65;12,97;-0,09;1,09;0,78;2,82;-37,02;;-8,84;2,71;;9.368.576.875,00
AAME;2,15;;14,87;0,45;0,12;10,09;2,99;1,53;7,61;4,15;-3,45;-0,20;0,23;;-0,12;;3,01;0,82;4,79;0,27;0,73;0,53;3,74;10,18;;4,81;0,14;;43.789.480,00
AAN;12,59;3,67;-27,77;0,55;0,21;49,94;-0,89;-0,60;-18,64;-27,16;-8,52;0,25;0,17;-5,65;-0,39;0,92;-1,99;-0,77;-4,49;0,39;0,61;1,29;4,77;;;22,77;-0,45;;389.140.533,00
AAOI;1,90;;-0,83;0,32;0,14;15,14;-26,64;-29,80;-0,93;-2,99;-2,06;0,71;0,25;-1,26;-0,25;0,79;-38,59;-17,37;-18,47;0,45;0,55;0,58;-10,24;;;5,91;-2,28;;55.471.830,00
AAON;90,19;0,61;41,07;8,03;5,64;27,64;14,90;12,26;33,78;34,33;0,56;0,13;5,03;19,87;-10,12;2,79;19,55;13,73;17,19;0,70;0,30;1,12;17,01;13,27;;11,23;2,20;;4.893.051.013,00
AAP;112,15;5,35;12,53;2,48;0,55;44,49;6,25;4,46;8,94;10,42;1,48;0,41;0,56;9,83;-1,11;1,13;19,81;4,42;14,56;0,22;0,78;0,99;3,54;1,09;;45,18;8,95;;6.647.556.670,00
AAPL;175,43;0,53;28,99;48,64;7,96;43,06;29,28;24,56;24,31;24,84;0,53;1,05;7,12;-324,28;-12,66;0,94;167,77;27,45;56,70;0,16;0,84;1,12;11,46;15,60;;3,61;6,05;;2.759.286.191.860,00
AAWW;102,48;;8,25;0,96;0,44;53,54;11,66;7,82;5,53;8,47;2,94;0,51;0,65;-63,29;-0,53;0,96;11,61;5,31;7,87;0,46;0,54;0,68;16,10;9,75;;107,04;12,43;;2.934.330.336,00
AB;34,34;7,89;15,23;;1,90;;;;;;;;;;-1,90;;;12,45;;0,00;0,00;0,00;;5,74;;0,00;2,26;;3.893.338.708,00
ABB;37,12;2,48;17,32;5,68;1,80;32,37;17,56;13,65;13,46;13,66;0,20;0,09;2,36;89,85;-3,35;1,04;32,76;10,36;24,67;0,32;0,68;0,76;3,17;2,26;;6,54;2,14;;69.002.074.752,00
ABBV;137,58;4,20;32,00;18,29;1,80;69,43;19,35;13,37;22,10;27,14;5,04;4,17;4,28;-220,26;-2,25;0,96;57,14;5,64;12,67;0,10;0,90;0,42;15,52;17,39;;7,52;4,30;;242.730.976.926,00
ABC;168,39;1,43;21,09;121,03;0,58;3,41;0,88;0,65;15,65;17,21;1,56;12,05;0,14;-6,71;-1,82;0,89;573,99;2,75;34,15;0,00;1,00;4,21;9,27;36,05;;1,39;7,99;;34.093.249.740,00
ABCB;32,51;1,85;6,93;0,69;0,09;0,00;38,35;25,82;4,67;2,08;-2,59;-0,38;1,79;;-0,09;;10,00;1,25;6,83;0,12;0,88;0,05;24,19;36,34;;46,89;4,69;;2.255.345.489,00
ABCL;6,80;;-39,14;1,62;1,31;100,00;-19,78;-27,71;-54,82;-31,88;22,94;-0,68;10,85;2,31;-3,52;10,50;-4,15;-3,35;-3,82;0,81;0,19;0,12;;;;4,19;-0,17;;1.963.351.080,00
ABEO;3,14;;-2,10;3,15;1,11;100,00;-2.563,30;-2.622,85;-2,15;-0,67;1,49;-2,17;55,21;1,66;-5,62;5,77;-149,48;-52,51;-146,08;0,35;0,65;0,02;11,06;;;1,00;-1,49;;58.963.548,00
ABEV;2,91;4,26;16,33;2,62;1,69;49,32;23,08;17,72;12,54;11,63;-0,91;-0,19;2,89;36,52;-2,39;1,19;16,06;10,35;19,01;0,64;0,36;0,58;0,13;4,20;;1,11;0,18;;45.826.541.484,00
ABG;212,44;;4,86;1,50;0,56;19,89;9,28;6,23;3,26;5,42;2,15;0,99;0,30;4,66;-0,75;1,92;30,86;11,50;17,25;0,37;0,63;1,85;19,04;48,29;;141,60;43,70;;4.574.704.204,00
ABIO;2,08;;-3,75;0,74;0,71;;;;-3,75;1,36;5,11;-1,01;;0,74;-83,96;32,94;-19,74;-19,02;-19,74;0,96;0,04;0,00;;;;2,81;-0,56;;29.973.008,00
ABM;44,64;1,86;15,30;1,70;0,60;100,00;4,03;2,45;9,31;13,40;4,09;0,75;0,38;7,77;-0,90;1,30;11,11;3,92;7,93;0,35;0,65;1,60;7,44;127,27;;26,27;2,92;;2.950.971.840,00
ABMD;381,02;;64,40;11,16;10,13;81,32;31,76;24,84;50,36;47,95;-2,40;-0,53;16,00;18,50;-27,11;7,93;17,32;15,72;17,32;0,91;0,09;0,63;18,30;21,24;;34,15;5,92;;17.180.649.024,00
ABNB;106,81;;33,18;12,72;3,36;82,04;24,68;23,30;31,32;30,93;-0,39;-0,16;7,73;10,11;-58,59;1,55;38,34;10,13;13,64;0,26;0,74;0,44;26,81;;;8,40;3,22;;67.317.515.188,00
ABST;11,40;2,12;56,88;-14,05;4,65;87,94;14,58;10,16;39,62;36,54;-3,08;;5,78;-35,88;-13,76;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;16,69;;;-0,81;0,20;;604.874.880,00
ABT;102,84;1,91;30,81;4,83;2,42;55,46;18,24;13,98;23,62;24,59;0,97;0,20;4,31;18,16;-3,62;1,68;15,68;7,87;11,84;0,50;0,50;0,56;9,77;70,80;;21,28;3,34;;178.833.288.912,00
ABTX;41,63;0,34;10,98;1,18;0,12;0,00;38,18;28,90;8,31;-11,75;-20,06;-2,84;3,17;;-0,12;;10,73;1,12;11,72;0,10;0,90;0,04;19,36;28,98;;35,34;3,79;;830.943.126,00
ABUS;2,50;;-5,93;2,89;2,17;100,00;-207,13;-211,41;-6,05;-3,91;2,14;-1,02;12,54;3,25;-10,82;6,08;-48,66;-36,62;-47,68;0,75;0,25;0,17;29,53;;;0,87;-0,42;;415.334.000,00
AC;40,20;0,50;-58,79;0,97;0,93;100,00;-149,89;-100,92;-39,58;-21,73;17,85;-0,44;59,33;;-0,93;;-1,65;-1,59;-3,39;0,96;0,03;0,02;-10,87;;;41,40;-0,68;;879.845.340,00
ACA;67,22;0,30;11,57;1,45;0,95;19,24;17,30;12,47;8,34;9,37;1,03;0,18;1,44;6,11;-1,30;2,40;12,54;8,23;11,18;0,66;0,34;0,66;8,93;22,34;;46,31;5,81;;3.255.928.418,00
ACAC;10,93;;292,13;-32,39;0,71;;;;140,56;139,35;-1,21;;;158,48;-0,71;2,30;-11,09;0,24;-11,09;-0,02;0,03;0,00;;;;-0,34;0,04;;63.392.907,00
ACACU;10,70;;285,99;-31,71;0,69;;;;137,60;139,35;-1,21;;;155,15;-0,70;2,30;-11,09;0,24;-11,09;-0,02;0,03;0,00;;;;-0,34;0,04;;63.392.907,00
ACACW;0,05;;1,34;-0,15;0,00;;;;0,64;139,35;-1,21;;;0,73;0,00;2,30;-11,09;0,24;-11,09;-0,02;0,03;0,00;;;;-0,34;0,04;;63.392.907,00
ACAD;24,78;;-27,61;10,77;6,15;98,29;-28,03;-28,05;-27,64;-24,87;2,76;-1,08;7,75;14,47;-26,43;2,24;-38,99;-22,27;-38,99;0,57;0,43;0,79;32,87;;;2,30;-0,90;;4.029.857.412,00
ACB;0,54;;-0,14;0,35;0,21;9,59;-104,57;-776,01;-1,01;0,09;1,10;-0,38;1,05;0,39;-0,69;5,13;-259,32;-158,40;-25,99;0,61;0,39;0,20;65,98;;;1,53;-3,98;;184.133.196,00
ACBI;32,34;;13,56;1,80;0,16;0,00;53,98;40,56;10,19;-17,34;-27,53;-4,88;5,50;;-0,16;;13,31;1,15;14,52;0,09;0,91;0,03;13,36;;;17,92;2,39;;656.653.998,00
ACCD;11,52;;-1,85;1,79;0,94;45,23;-127,57;-126,58;-1,83;-1,75;0,08;-0,08;2,34;3,44;-1,58;3,06;-97,02;-50,90;-61,75;0,52;0,48;0,40;;;;6,43;-6,24;;848.263.680,00
ACCO;5,01;5,99;-33,49;0,59;0,17;28,92;3,27;-0,74;7,62;23,07;15,45;1,19;0,25;1,22;-0,25;1,77;-1,75;-0,51;1,87;0,29;0,71;0,68;-0,01;;;8,53;-0,15;;475.536.174,00
ACEL;9,34;;11,90;4,40;0,92;30,28;10,77;6,33;6,99;9,39;2,39;1,51;0,75;3,89;-1,41;3,22;36,99;7,76;12,67;0,21;0,79;1,22;31,31;54,89;;2,12;0,78;;803.287.634,00
ACER;0,90;;-0,83;-1,30;1,88;;;;-0,83;-1,19;-0,35;;;-1,42;-2,70;0,19;-156,54;-225,71;509,85;-1,44;2,44;0,00;;;;-0,69;-1,08;;21.870.090,00
ACET;5,62;;-2,29;0,91;0,79;;;;-2,29;-0,09;2,20;-0,87;;1,11;-3,44;12,98;-39,55;-34,52;-39,52;0,87;0,13;0,00;;;;6,20;-2,45;;241.421.712,00
ACEV;9,78;;-24,18;-1,71;2,06;;;;-24,18;-30,41;-6,23;;;-4,44;-2,06;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACEVU;9,60;;-23,74;-1,68;2,02;;;;-23,74;-30,41;-6,23;;;-4,36;-2,02;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACEVW;0,16;;-0,40;-0,03;0,03;;;;-0,40;-30,41;-6,23;;;-0,07;-0,03;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACGL;71,00;;13,52;1,89;0,52;31,81;20,07;18,04;12,15;13,28;1,12;0,17;2,44;;-0,52;;13,98;3,83;10,88;0,27;0,73;0,21;11,31;21,12;;37,56;5,25;;26.442.004.600,00
