TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,45;;-17,87;2,11;0,94;30,55;-0,34;-12,41;-646,58;-803,47;-151,83;0,50;2,22;-26,05;-1,14;0,83;-11,83;-5,26;-1,68;0,45;0,54;0,42;3,62;;6.052.371,33;9,68;-1,15;0,04;2.440.380.794,08
ABCB4;20,20;6,32;6,16;0,90;0,09;26,12;15,74;13,19;5,16;5,19;;;0,81;1,69;-0,10;2,70;14,65;1,43;;0,10;0,90;0,11;7,15;13,66;19.773.725,17;22,43;3,29;0,14;4.598.673.000,12
ABEV3;15,72;3,83;18,93;2,75;1,75;49,47;21,95;16,57;14,29;13,36;-0,93;-0,18;3,14;37,69;-2,47;1,19;14,52;9,22;17,86;0,63;0,36;0,56;9,82;0,86;456.527.166,17;5,73;0,83;-1,09;247.750.911.066,23
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,67;1,23;-36,60;1,37;0,37;11,63;8,52;-1,46;6,29;9,79;3,50;0,76;0,54;1,04;-1,10;2,19;-3,73;-1,02;7,95;0,27;0,73;0,69;;;9.093.921,33;1,23;-0,05;0,24;1.287.238.606,08
AESB3;9,71;1,10;11,89;1,40;0,39;23,01;16,12;17,84;13,16;23,28;10,03;1,06;2,12;1,97;-0,53;3,63;11,73;3,24;-0,56;0,28;0,64;0,18;;;20.593.356,27;6,97;0,82;;5.867.318.221,80
AFLT3;9,09;4,69;4,79;2,11;1,82;82,74;80,13;77,75;4,65;4,51;-0,25;-0,11;3,72;10,23;-2,44;3,40;44,10;38,05;43,20;0,86;0,14;0,49;30,86;52,99;11.281,67;4,30;1,90;0,01;587.949.404,00
AGRO3;27,35;19,23;6,16;1,26;0,84;39,39;33,72;26,43;4,83;5,17;0,30;0,08;1,63;2,53;-1,59;3,28;20,50;13,58;16,13;0,66;0,34;0,51;59,78;75,47;17.051.299,13;21,65;4,44;0,91;2.824.581.650,72
AGXY3;7,32;2,29;-19,05;1,00;0,16;12,49;4,37;-0,61;2,68;5,48;2,81;1,05;0,12;6,71;-0,80;1,03;-5,23;-0,84;15,21;0,16;0,84;1,37;;;440.933,10;7,35;-0,38;-0,02;1.250.438.919,48
AHEB3;20,00;;-5,16;-2,11;0,59;30,92;-3,68;-15,89;-22,32;-22,43;-0,11;;0,82;-172,95;-0,79;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;2.000,00;-9,47;-3,87;0,11;170.877.880,00
AHEB5;22,00;;-5,68;-2,32;0,65;30,92;-3,68;-15,89;-24,55;-22,43;-0,11;;0,90;-190,25;-0,87;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;2.348,50;-9,47;-3,87;0,13;170.877.880,00
AHEB6;20,00;;-5,16;-2,11;0,59;30,92;-3,68;-15,89;-22,32;-22,43;-0,11;;0,82;-172,95;-0,79;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;8.650,00;-9,47;-3,87;0,11;170.877.880,00
ALLD3;7,00;12,39;8,85;0,43;0,16;13,67;3,61;1,36;3,34;5,08;1,70;0,22;0,12;0,59;-0,55;1,59;4,91;1,76;7,51;0,36;0,64;1,29;;;392.056,80;16,15;0,79;-0,11;661.866.132,20
ALPA3;15,02;0,99;23,51;1,75;1,30;46,83;8,91;11,00;29,01;31,14;0,40;0,02;2,59;7,57;-2,15;1,76;7,45;5,52;4,82;0,74;0,26;0,50;-0,53;3,84;168.126,79;8,58;0,64;-8,10;10.871.116.303,18
ALPA4;16,72;0,98;25,93;1,93;1,43;46,83;8,91;11,00;32,01;31,14;0,40;0,02;2,85;8,35;-2,37;1,76;7,45;5,52;4,82;0,74;0,26;0,50;-0,53;3,84;83.836.669,17;8,58;0,64;-8,93;10.871.116.303,18
ALPK3;2,10;;-2,68;0,97;0,17;29,84;6,40;-15,39;6,43;25,03;18,45;2,77;0,41;-1,17;-0,19;0,44;-36,11;-6,36;3,53;0,18;0,82;0,41;;;308.688,40;2,14;-0,77;0,21;454.584.228,76
ALSO3;17,90;2,14;16,51;0,69;0,39;70,92;55,69;26,63;7,90;3,52;-4,36;-0,38;4,40;2,00;-0,52;3,98;4,17;2,34;7,18;0,56;0,35;0,09;22,33;24,54;34.944.379,77;26,05;1,09;0,22;4.757.332.726,20
ALUP11;26,97;4,54;8,39;1,09;0,29;80,24;73,84;22,37;2,54;5,27;2,71;1,16;1,88;2,55;-0,36;2,73;12,99;3,48;12,37;0,27;0,60;0,16;27,49;24,93;22.032.344,50;24,85;3,23;-0,26;7.985.260.693,42
ALUP3;9,03;4,54;8,39;1,09;0,29;80,24;73,84;22,37;2,54;5,27;2,71;1,16;1,88;2,55;-0,36;2,73;12,99;3,48;12,37;0,27;0,60;0,16;27,49;24,93;91.683,20;8,28;1,08;-0,26;7.985.260.693,42
ALUP4;9,01;4,50;8,48;1,10;0,29;80,24;73,84;22,37;2,57;5,27;2,71;1,16;1,90;2,58;-0,36;2,73;12,99;3,48;12,37;0,27;0,60;0,16;27,49;24,93;127.998,90;8,28;1,08;-0,26;7.985.260.693,42
