TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BLUR11;100,23;1,030000;12,33;100,91;0,99;1.519,67;6,55;;;9.081.830,94;93,00;Ativa;90.000,00
HBCR11;114,39;0,572983;5,11;102,23;1,12;1.363,00;4,23;;;108.959.635,98;41,00;Ativa;1.065.777,00
BPFF11;59,81;0,620000;13,46;71,21;0,84;332.778,85;4,04;7,95;-14,90;319.882.325,95;19.328,00;Ativa;4.492.326,00
ZAVI11;126,00;1,050000;4,43;127,40;0,99;60.893,15;6,34;;;118.037.889,50;163,00;Ativa;926.518,00
BRHT11B;86,80;;0,00;77,10;1,13;;2,01;;;141.984.814,41;11,00;Ativa;1.841.677,00
KIVO11;86,15;1,200000;18,05;96,46;0,91;165.382,27;15,43;;;117.206.634,51;1.485,00;Ativa;1.215.124,00
THRA11;138,50;0,130000;0,00;9,54;14,52;;140,47;90,73;-0,59;14.050.683,35;2.084,00;Passiva;1.472.728,00
CPTS11;76,12;0,760000;14,38;87,72;0,87;5.568.245,24;4,88;3,59;-5,22;2.788.111.110,82;211.167,00;Ativa;31.782.814,00
ERPA11;123,96;0,657006;5,29;137,05;0,90;64.316,44;1,00;;;68.650.263,55;328,00;Passiva;500.922,00
DVFF11;64,47;0,700000;14,02;88,09;0,73;27.347,27;7,10;;;96.973.773,60;680,00;Ativa;1.100.950,00
HSAF11;77,01;0,900000;15,56;90,88;0,85;455.311,36;4,07;;;229.603.647,67;8.599,00;Ativa;2.526.360,00
JSRE11;62,15;0,460000;9,42;112,76;0,55;1.866.973,06;0,11;-0,29;-14,06;2.341.749.373,70;87.958,00;Ativa;20.767.328,00
CJFI11;0,00;;0,00;2,60;;;1,21;;;136.955.941,69;1,00;Ativa;52.601.278,00
FATN11;93,99;0,740000;10,77;99,15;0,95;118.706,06;3,32;;;120.479.427,65;926,00;Ativa;1.215.179,00
