TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;2,69;;22,07;0,36;0,07;100,00;103,49;14,11;3,01;32,16;29,15;3,45;3,12;;-0,07;;1,61;0,32;2,10;0,20;0,80;0,02;-30,10;;;7,55;0,12;;76.306.423,00
AAT;17,07;7,56;23,82;0,85;0,35;63,93;27,00;10,29;9,08;23,17;14,08;1,32;2,45;;-0,35;;3,56;1,46;3,96;0,41;0,59;0,14;6,06;8,39;;20,11;0,72;;1.036.452.846,00
ABR;11,10;17,75;7,01;0,68;0,12;99,06;402,85;124,77;2,17;15,49;13,32;4,17;8,74;;-0,12;;9,70;1,67;5,49;0,17;0,83;0,01;3,69;34,73;;16,33;1,58;;1.995.986.460,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;48,96;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;8,87;15,11;16,26;0,65;0,19;100,00;3.602,21;1.114,71;5,03;21,32;16,28;2,10;181,27;;-0,19;;3,98;1,18;3,86;0,30;0,70;0,00;;-0,41;;13,69;0,55;;484.362.316,00
ADC;67,08;4,22;41,72;1,31;0,90;87,84;52,25;33,74;26,93;35,44;8,51;0,41;14,07;;-0,90;;3,13;2,16;3,38;0,69;0,31;0,06;30,97;21,27;;51,33;1,61;;6.048.831.672,00
AFCG;12,27;18,17;7,00;0,74;0,48;;;;5,74;6,13;0,38;0,05;;;-0,48;;10,60;6,92;8,62;0,65;0,35;0,00;;;;16,55;1,75;;251.402.484,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;14,92;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;46,58;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;47,15;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;9,79;14,71;-4,62;0,71;0,11;;;;-9,96;-17,73;-7,78;0,56;;;-0,11;;-15,49;-2,36;-3,87;0,15;0,85;0,00;;;;13,70;-2,12;;5.625.891.051,00
AGNCM;20,32;8,46;-9,58;1,48;0,23;;;;-20,67;-17,73;-7,78;0,56;;;-0,23;;-15,49;-2,36;-3,87;0,15;0,85;0,00;;;;13,70;-2,12;;5.625.891.051,00
AGNCN;23,82;7,92;-11,23;1,74;0,26;;;;-24,23;-17,73;-7,78;0,56;;;-0,26;;-15,49;-2,36;-3,87;0,15;0,85;0,00;;;;13,70;-2,12;;5.625.891.051,00
AGNCO;20,45;7,95;-9,64;1,49;0,23;;;;-20,80;-17,73;-7,78;0,56;;;-0,23;;-15,49;-2,36;-3,87;0,15;0,85;0,00;;;;13,70;-2,12;;5.625.891.051,00
AGNCP;18,80;8,14;-8,86;1,37;0,21;;;;-19,12;-17,73;-7,78;0,56;;;-0,21;;-15,49;-2,36;-3,87;0,15;0,85;0,00;;;;13,70;-2,12;;5.625.891.051,00
AHH;11,27;6,39;12,08;1,18;0,34;33,95;30,71;13,92;5,47;5,59;0,12;0,02;1,68;;-0,34;;9,76;2,82;17,70;0,29;0,71;0,20;8,45;28,85;;9,56;0,93;;763.134.526,00
