TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;133,42;0,64;29,96;7,07;3,63;54,55;24,29;19,09;23,55;24,59;1,02;0,31;5,72;18,51;-5,79;2,11;23,59;12,12;16,45;0,51;0,49;0,63;8,90;12,89;;18,97;4,47;;39.659.538.828,00
AA;39,19;1,02;-57,09;1,38;0,48;17,98;6,49;-0,99;8,69;10,43;1,74;0,28;0,56;3,13;-0,74;1,75;-2,42;-0,83;1,78;0,34;0,66;0,84;1,34;;;28,46;-0,69;;7.021.611.941,00
AACG;1,89;;-5,72;2,59;0,82;51,68;-31,49;-32,34;-5,88;-5,27;0,61;-0,27;1,85;-1,77;-0,96;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;-13,28;;;0,73;-0,33;;59.302.341,00
AACQ;9,99;;-93,43;180,94;1,25;;;;-27,75;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;-30,69;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;-6,94;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;13,87;;70,68;-1,55;0,14;57,93;4,39;0,26;4,18;16,15;11,97;;0,18;-1,44;-0,18;0,71;-2,19;0,20;7,00;-0,09;1,09;0,76;2,82;-37,02;;-8,90;0,19;;8.983.226.595,00
AAME;2,49;0,80;17,22;0,52;0,14;10,09;2,99;1,53;8,81;5,36;-3,45;-0,20;0,26;;-0,14;;3,01;0,82;4,79;0,27;0,73;0,53;3,74;10,18;;4,81;0,14;;50.714.328,00
AAN;9,48;4,84;-55,38;0,42;0,16;51,65;-0,22;-0,23;-60,07;-104,68;-44,10;0,31;0,13;-4,93;-0,29;0,94;-0,76;-0,28;-1,53;0,37;0,63;1,21;4,77;;;22,71;-0,17;;294.867.711,00
AAOI;2,43;;-1,06;0,38;0,17;15,09;-26,96;-29,80;-1,17;-3,06;-1,89;0,61;0,32;1,58;-0,31;1,32;-35,95;-16,26;-18,01;0,45;0,55;0,55;-10,24;;;6,37;-2,29;;70.694.608,00
AAON;89,20;0,61;47,67;8,53;5,88;26,73;14,01;11,29;38,42;38,98;0,52;0,12;5,38;23,51;-10,29;2,40;17,90;12,33;15,89;0,69;0,31;1,09;17,01;13,27;;10,48;1,88;;4.789.259.370,00
AAP;118,05;5,05;13,27;2,63;0,59;44,49;6,25;4,46;9,47;10,99;1,48;0,41;0,59;10,41;-1,18;1,13;19,81;4,42;14,56;0,22;0,78;0,99;3,54;1,09;;45,18;8,95;;7.068.993.388,00
AAPL;155,04;0,59;25,91;43,48;7,11;43,06;29,28;24,56;21,73;22,21;0,53;1,05;6,36;-289,85;-11,32;0,94;167,77;27,45;56,70;0,16;0,84;1,12;11,46;15,60;;3,59;6,02;;2.461.261.919.760,00
AAWW;102,48;;8,25;0,96;0,44;53,54;11,66;7,82;5,53;8,47;2,94;0,51;0,65;-63,29;-0,53;0,96;11,61;5,31;7,87;0,46;0,54;0,68;16,10;9,75;;107,04;12,43;;2.934.330.336,00
AB;35,08;8,40;14,58;;1,93;;;;;;;;;;-1,93;;;13,22;;0,00;0,00;0,00;;5,74;;0,00;2,41;;4.004.660.709,00
ABB;31,93;2,74;14,98;4,91;1,55;32,37;17,56;13,65;11,64;11,84;0,20;0,09;2,04;77,70;-2,90;1,04;32,76;10,36;24,67;0,32;0,68;0,76;3,17;2,26;;6,52;2,14;;59.676.828.783,00
ABBV;153,55;3,71;23,02;15,79;1,96;70,00;26,74;20,39;17,55;21,03;3,48;3,13;4,69;-253,43;-2,47;0,96;68,60;8,53;17,25;0,12;0,88;0,42;15,52;17,39;;9,75;6,69;;272.399.130.000,00
ABC;151,19;1,57;17,71;-171,96;0,53;3,47;0,99;0,72;12,85;14,51;1,66;;0,13;-7,56;-1,78;0,91;-970,89;2,99;34,70;0,00;1,00;4,18;9,27;36,05;;-0,88;8,55;;30.642.117.300,00
