companyId;companyName;ticker;price;gestao;dy;p_vp;valorpatrimonialcota;liquidezmediadiaria;percentualcaixa;dividend_cagr;cota_cagr;numerocotistas;numerocotas;patrimonio;lastdividend
31;Castello Branco Office Park;CBOP11;46,02;Passiva;14,5154;0,6234;73,82;35622,7;2,802;4,403;-20,3287;3655,0;1415000,0;104458062,96;0,12
735;VENUS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;SALI11;0,0;Passiva;0,0;;101,3;;4,2518;;;1,0;79565,0;8059821,59;
753;PERFORMA REAL ESTATE;PEMA11;50,0;Ativa;15,1988;0,6551;76,33;2449,58;0,7296;;;389,0;552000,0;42136735,56;0,56
670;KILIMA FIC FDO. IMOB. SUNO 30;KISU11;7,94;Ativa;11,335;0,9106;8,72;855459,3;2,2264;;;111429,0;44196050,0;385223962,34;0,075
43;Projeto Água Branca;FPAB11;135,0;Passiva;14,237;0,36;375,02;19658,15;1,7924;-2,8784;-29,5444;911,0;750000,0;281261368,63;1,65
96;XP Industrial;XPIN11;72,0;Ativa;9,5278;0,693;103,89;469971,7;4,1073;0,1339;-16,6184;46626,0;7150422,0;742845477,53;0,65
932;JACARANDÁ 02 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;JCDB11;0,0;Ativa;0,0;;139,04;;0,4984;;;57,0;769499,0;106990753,66;
55;Cyrela Thera Corporate;THRA11;138,5;Passiva;0,0;14,5178;9,54;;140,4662;90,7344;-2,4827;2084,0;1472728,0;14050683,35;0,13
138;Hedge Top FOFII 3;HFOF11;64,89;Ativa;11,3269;0,8023;80,88;1731871,78;0,8763;-2,9467;-18,0234;69478,0;23012000,0;1861309846,51;0,63
542;QUASAR AGRO - FDO INV. IMOB.;QAGR11;42,36;Ativa;11,4023;0,7586;55,84;280158,11;1,5905;8,8478;-25,89;24653,0;5040000,0;281454019,9;0,42
845;BASÍLICA PARTNERS LED CORPORATE FDO INV IMOB FII;BPLC11;0,0;Ativa;0,0;;10268,52;;4,0309;;;114,0;32000,0;328592540,71;13,80890045
507;FDO INV IMOB OURINVEST LOGÍSTICA;OULG11;39,35;Ativa;3,2783;0,5881;66,91;73530,04;2,2587;-20,2494;-28,6163;5299,0;2481284,0;166011124,95;0,41
692;BTSP I FDO. INVEST. IMOB;BTSG11;100,0;Ativa;9,99;0,7264;137,67;100,0;0,7672;;;56,0;775015,0;106695683,55;0,86
