TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,41;;-43,73;2,11;0,94;31,96;4,48;-4,98;48,56;59,95;11,44;0,50;2,18;-25,97;-1,14;0,83;-4,82;-2,15;1,10;0,45;0,54;0,43;3,62;;6.121.218,21;9,68;-0,47;0,15;2.411.990.518,24
ABCB4;20,46;5,62;6,84;0,94;0,09;21,90;12,88;11,98;6,36;6,33;;;0,82;9,11;-0,10;1,25;13,77;1,33;;0,10;0,90;0,11;7,15;11,54;16.516.501,56;21,72;2,99;0,13;4.607.716.604,84
ABEV3;15,44;3,91;17,96;2,82;1,78;49,91;22,47;17,60;14,07;13,34;-0,72;-0,14;3,16;56,02;-2,47;1,13;15,70;9,91;18,74;0,63;0,36;0,56;9,82;1,54;299.889.243,26;5,48;0,86;-2,54;243.025.846.010,93
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;2,33;0,89;35.705,55;1,85;0,53;11,54;8,64;0,00;8,58;12,34;3,83;0,82;0,74;1,36;-1,56;2,49;0,01;0,00;7,87;0,29;0,71;0,72;;;10.570.329,94;1,26;0,00;-357,21;1.769.953.083,36
AESB3;9,69;1,11;10,09;1,46;0,34;23,57;15,63;18,74;12,10;23,55;11,45;1,38;1,89;1,88;-0,47;2,75;14,43;3,33;-1,42;0,23;0,68;0,18;;;24.451.226,00;6,65;0,96;;4.768.511.936,55
AFLT3;9,99;4,27;5,40;2,41;2,06;84,18;81,89;79,24;5,23;5,02;-0,21;-0,10;4,28;12,79;-2,72;3,00;44,62;38,22;43,94;0,86;0,14;0,48;30,86;52,19;20.012,58;4,15;1,85;0,01;630.216.153,00
AGRO3;30,01;15,45;5,91;1,39;0,92;40,44;35,97;27,11;4,45;4,69;0,25;0,08;1,60;2,78;-1,75;3,28;23,47;15,55;19,63;0,66;0,34;0,57;59,78;80,28;16.397.531,26;21,65;5,08;0,09;3.067.215.159,68
AGXY3;7,29;2,30;-65,16;0,99;0,16;12,08;4,22;-0,20;3,12;6,36;3,29;1,05;0,13;6,67;-0,80;1,03;-1,52;-0,24;13,07;0,16;0,84;1,21;;;960.052,00;7,35;-0,11;0,80;1.226.523.421,02
AHEB3;29,99;;-10,60;-3,85;0,82;41,13;0,84;-11,03;138,88;126,04;-12,10;;1,17;23,98;-1,18;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;4.949,00;-7,80;-2,83;0,20;254.872.571,23
AHEB5;22,00;;-7,78;-2,82;0,60;41,13;0,84;-11,03;101,88;126,04;-12,10;;0,86;17,59;-0,87;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;2.348,50;-7,80;-2,83;0,14;254.872.571,23
AHEB6;20,00;;-7,07;-2,56;0,55;41,13;0,84;-11,03;92,62;126,04;-12,10;;0,78;15,99;-0,79;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;8.650,00;-7,80;-2,83;0,13;254.872.571,23
ALLD3;8,90;9,76;6,10;0,55;0,20;13,66;4,26;2,38;3,40;4,74;1,36;0,22;0,15;0,74;-0,70;1,59;9,04;3,24;9,68;0,36;0,64;1,36;;;758.523,65;16,15;1,46;-0,10;825.002.150,70
ALPA3;18,20;2,17;22,70;2,17;1,63;47,38;10,98;13,90;28,73;30,88;-0,11;-0,01;3,15;9,09;-2,69;1,83;9,55;7,18;6,40;0,75;0,25;0,52;-0,53;8,66;140.546,62;8,39;0,80;0,27;13.411.622.069,81
ALPA4;21,30;2,04;26,57;2,54;1,91;47,38;10,98;13,90;33,62;30,88;-0,11;-0,01;3,69;10,63;-3,15;1,83;9,55;7,18;6,40;0,75;0,25;0,52;-0,53;8,66;94.839.474,97;8,39;0,80;0,32;13.411.622.069,81
ALPK3;2,25;;-2,69;0,98;0,19;28,77;3,86;-17,70;12,35;45,34;33,05;2,61;0,48;-0,95;-0,21;0,31;-36,20;-6,96;1,97;0,19;0,81;0,39;;;327.597,44;2,31;-0,84;0,16;480.315.411,52
ALSO3;18,71;2,05;19,44;0,74;0,44;70,10;52,84;24,36;8,96;6,27;-2,67;-0,22;4,74;3,98;-0,54;2,52;3,81;2,26;6,43;0,59;0,31;0,09;22,33;21,57;36.325.984,50;25,24;0,96;0,19;4.959.320.037,48
ALUP11;27,99;4,39;7,66;1,13;0,30;78,93;74,42;22,57;2,32;4,72;2,40;1,16;1,73;2,64;-0,37;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;28.408.940,12;24,85;3,65;-0,37;8.193.317.027,08
ALUP3;9,41;4,36;7,73;1,14;0,30;78,93;74,42;22,57;2,34;4,72;2,40;1,16;1,74;2,66;-0,37;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;81.696,82;8,28;1,22;-0,38;8.193.317.027,08
ALUP4;9,31;4,40;7,64;1,12;0,30;78,93;74,42;22,57;2,32;4,72;2,40;1,16;1,73;2,63;-0,37;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;103.463,71;8,28;1,22;-0,37;8.193.317.027,08
AMAR3;2,50;;-7,31;0,78;0,26;44,44;0,59;-4,15;51,13;127,95;77,03;1,18;0,30;2,11;-0,52;1,32;-10,72;-3,51;-3,70;0,33;0,67;0,84;-2,41;;11.432.138,94;3,19;-0,34;0,04;853.660.569,30
AMBP3;29,41;1,03;27,60;3,21;0,53;20,78;16,33;4,13;6,97;12,18;5,25;2,41;1,14;2,85;-0,88;1,87;11,62;1,92;8,21;0,16;0,81;0,46;;;29.723.333,03;9,17;1,07;1,06;3.302.236.593,12
AMER3;17,48;3,55;32,05;1,05;0,37;30,60;4,78;1,72;11,51;18,02;6,50;0,59;0,55;1,79;-0,66;1,84;3,28;1,14;2,18;0,35;0,65;0,66;21,42;;484.399.931,88;16,64;0,55;-0,10;15.873.406.645,80
ANIM3;5,74;;-7,38;0,86;0,22;55,99;11,95;-9,08;5,60;14,91;9,31;1,43;0,67;7,15;-0,28;1,18;-11,69;-3,00;4,41;0,26;0,71;0,33;22,51;;14.550.804,62;6,66;-0,78;0,01;2.318.206.940,70
APER3;29,43;0,24;57,00;0,78;0,50;100,00;7,69;3,17;23,51;12,03;-11,48;-0,38;1,81;2,82;-0,77;2,10;1,36;0,88;2,67;0,65;0,36;0,28;4,50;;920.750,35;37,89;0,52;0,26;337.860.343,62
