TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BLCP11;91,00;0,563428;6,18;111,74;0,81;74.177,94;1,06;;;256.580.339,90;279,00;Ativa;2.296.282,00
BTLG11;102,42;0,740000;8,58;97,82;1,05;5.243.146,51;5,44;12,58;-0,45;1.860.854.582,40;192.861,00;Ativa;19.023.202,00
CARE11;3,72;0,008385;0,00;8,16;0,46;47.205,31;0,35;;-16,76;291.979.213,10;11.145,00;Ativa;35.769.919,00
CCME11;0,00;;0,00;102,14;;;44,84;;;254.849.781,09;4,00;Ativa;2.495.084,00
MGIM11;101,50;0,176173;13,69;98,41;1,03;5.538,90;101,04;;;24.337.124,08;75,00;Ativa;247.300,00
PNPR11;100,00;;0,00;97,67;1,02;1.400.000,00;11,45;;;84.386.447,70;19,00;Ativa;863.967,00
MFII11;97,95;1,090000;14,14;101,57;0,96;324.374,31;27,88;4,90;-7,68;421.213.345,50;28.552,00;Ativa;4.146.900,00
BVAR11;0,00;50,980000;0,00;1.027,82;;;4,40;20,54;;642.942.349,89;69,00;Passiva;625.540,00
DMAC11;13,00;4,894618;37,65;4,99;2,61;;105,14;;-73,13;778.257,90;2.352,00;Passiva;156.108,00
EXES11;103,05;0,950000;2,70;101,59;1,01;39.310,75;2,71;;;21.886.715,60;62,00;Ativa;215.435,00
FAMB11B;750,15;9,160000;0,00;3.042,36;0,25;35.513,42;2,60;-9,82;-37,69;318.839.629,69;2.860,00;Passiva;104.800,00
MGLG11;42,91;0,350000;13,69;39,09;1,10;148.744,10;50,34;;;73.810.012,90;3.593,00;Ativa;1.888.174,00
NCRI11;0,00;;0,00;10,12;;;3,59;;;32.896.538,73;24,00;Ativa;3.249.999,00
PLCR11;87,39;1,050000;14,76;92,04;0,95;360.755,54;9,35;;;194.130.697,27;12.207,00;Ativa;2.109.169,00
PLRI11;27,17;0,321922;15,71;33,57;0,81;3.797,36;5,73;19,55;-23,63;32.036.986,92;817,00;Ativa;954.304,00
CEOC11;60,78;0,501105;9,52;89,90;0,68;35.162,69;2,10;-3,68;-11,77;163.237.739,13;5.119,00;Passiva;1.815.696,00
NEWU11;37,63;0,110000;0,00;65,05;0,58;14.140,49;1,78;58,77;;48.268.751,55;1.774,00;Ativa;742.000,00
PATC11;76,00;0,400000;5,84;85,67;0,89;1.140.767,26;11,36;4,98;-10,78;297.907.873,38;8.755,00;Ativa;3.477.434,00
PATL11;81,83;0,580000;8,47;98,09;0,83;1.050.829,03;0,75;;;489.621.002,53;23.020,00;Ativa;4.991.535,00
PLOG11;79,73;0,750000;11,34;100,38;0,79;84.060,18;2,86;;;75.284.532,67;3.139,00;Ativa;750.000,00
PQDP11;2.298,00;14,519494;7,64;3.313,01;0,69;182.713,28;2,06;0,20;-11,97;813.386.589,94;4.063,00;Passiva;245.513,00
TFOF11;138,00;2,370000;0,00;121,20;1,14;;13,36;29,98;-2,85;103.080.374,68;3.278,00;Ativa;850.530,00
CTXT11;13,47;0,010000;0,00;39,72;0,34;3.765,28;2,28;-23,80;-38,78;115.306.542,84;3.287,00;Passiva;2.902.772,00
MORE11;72,15;0,600000;11,41;88,09;0,82;706.976,69;0,95;;;204.285.036,74;17.802,00;Ativa;2.319.115,00
ONEF11;170,50;0,920000;6,18;174,94;0,97;155.553,97;1,12;12,16;4,36;159.368.155,63;3.434,00;Passiva;911.000,00
OUFF11;67,00;0,750000;12,69;81,12;0,83;312.574,69;2,71;4,42;-11,30;147.185.707,50;8.452,00;Ativa;1.814.336,00
OUJP11;95,69;1,200000;15,09;100,86;0,95;694.912,21;4,70;24,77;-3,11;328.049.396,56;23.884,00;Ativa;3.252.384,00
BPFF11;69,12;0,700000;11,47;78,87;0,88;669.952,54;3,88;-1,11;-13,62;354.313.584,35;20.815,00;Ativa;4.492.326,00
BZLI11;17,00;;0,00;10,57;1,61;1.149,38;0,14;;4,26;433.476.412,49;18,00;Ativa;40.990.985,00
