companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;receitas_Cagr5;liquidezMediaDiaria;vpa;lpa;valorMercado;dy;lucros_Cagr5
577;LOCAWEB SERVIÇOS DE INTERNET S.A.;LWSA3;5,4;764,5583;1,0842;27,281;0,7013;15,8421;45,11;10,87;0,39;2,9666;2,829;-1,3028;0,24;0,14;0,09;2,5;-0,45;-11,44;0,65;0,35;2,16;0,85491148;23,75;63295608,07;4,9808;0,0071;3208086529,2;;
621;LOJAS QUERO-QUERO S/A;LJQQ3;3,32;221,5979;1,1949;6,3965;0,2196;5,5721;34,35;4,3;0,12;0,275;0,7011;-0,6446;0,8;0,54;0,1;10,0;-0,15;-0,82;0,18;0,82;1,91;-2,29867111;;17986940,89;2,7784;0,015;621803693,08;;
386;BRASKEM;BRKM3;22,33;9,344;2,0487;1,8097;0,1931;3,9997;17,15;9,3;1,8;0,1684;1,3345;-0,331;1,15;21,92;2,07;18,39;2,49;2,2;0,09;0,93;1,53;-0,10780132;17,25;359201,7;10,8997;2,3898;17732543096,82;7,5967;
386;BRASKEM;BRKM5;22,13;9,2603;2,0303;1,7934;0,1913;3,9997;17,15;9,3;1,8;0,1668;1,3225;-0,3281;1,15;21,92;2,07;18,39;2,49;2,2;0,09;0,93;1,53;-0,1068358;17,25;65807375,48;10,8997;2,3898;17732543096,82;7,6654;
386;BRASKEM;BRKM6;20,01;8,3732;1,8358;1,6216;0,173;3,9997;17,15;9,3;1,8;0,1509;1,1959;-0,2966;1,15;21,92;2,07;18,39;2,49;2,2;0,09;0,93;1,53;-0,09660119;17,25;10703,62;10,8997;2,3898;17732543096,82;;
799;CM HOSPITALAR S.A.;VVEO3;18,05;18,5659;2,2525;10,7945;0,6255;13,9868;16,14;6,18;3,59;0,6672;2,1185;-1,4781;0,94;12,13;3,37;8,29;0,67;3,19;0,28;0,72;2,05;-0,73385833;;2285562,48;8,0133;0,9722;5164526648,0;2,4062;
292;EXCELSIOR ALIMENTOS;BAUH4;81,99;46,9845;3,9766;126,8276;2,5873;126,7989;20,99;1,84;4,97;2,3367;92,1985;-3,7617;1,11;8,46;5,51;-1,98;0,0;-0,03;0,65;0,35;1,1;-0,88008765;5,51;35177,5;20,618;1,745;428169981,78;;3,46
232;EVEN CONSTRUTORA E INCORPORADORA;EVEN3;4,46;6,4763;0,4883;5,3938;0,1465;3,8948;24,3;7,41;6,17;0,3997;0,3399;-0,5281;0,37;7,54;2,26;3,85;-0,14;-1,5;0,3;0,57;2,48;0,14160089;5,48;5383598,63;9,1328;0,6887;945520000,0;3,3635;139,11
250;ANIMA;ANIM3;3,89;-4,1993;0,5843;4,0756;0,1499;14,0634;56,74;10,86;-10,54;0,4425;4,8443;-0,1879;0,34;-13,91;-3,57;3,94;1,43;9,99;0,26;0,71;1,18;0,00360663;22,51;19582441,3;6,658;-0,9263;1571049651,45;;
313;MULTIPLAN;MULT3;22,9;18,4952;2,1024;14,1473;1,2529;16,0829;80,46;56,14;42,94;7,9427;99,4134;-1,5038;0,16;11,37;6,77;10,04;0,29;1,94;0,6;0,4;1,08;0,19988516;3,03;105130940,15;10,8923;1,2382;13757424037,5;3,1304;18,98
447;AMPLA ENERGIA E SERVICOS;CBEE3;13,94;-32,859;0,705;3,8232;0,2001;9,2917;18,31;10,61;-1,23;0,4055;-1,3979;-0,2497;0,49;-2,15;-0,61;7,75;1,01;5,47;0,28;0,72;0,58;0,06764254;13,66;1602,2;19,774;-0,4242;3348526298,74;2,569;
415;CREMER;CREM3;14,5;32,6952;2,4519;9,2757;0,6705;13,113;30,3;7,39;2,1;0,6854;4,8878;-1,6877;0,98;7,5;2,05;9,29;1,01;3,84;0,27;0,73;1,29;22,14273234;1,09;;5,9138;0,4435;465122474,0;;
268;SPRINGS;SGPS3;1,55;-0,1706;0,1279;-0,738;0,0264;-8,3729;24,22;-7,26;-31,4;0,0536;1,1197;-0,0427;0,49;-75,0;-15,48;-6,85;1,32;-7,63;0,21;0,79;1,07;-0,00060122;-5,73;297158,44;12,115;-9,0862;77500000,0;;
482;COMGAS;CGAS3;125,0;9,6646;9,9566;6,3888;1,2786;8,4125;21,52;15,76;10,42;1,0068;7,8888;-2,19;1,27;103,02;13,23;27,93;3,15;2,02;0,13;0,87;1,64;-0,62386504;15,66;32368,93;12,5545;12,9338;16565073375,0;11,202;13,72
482;COMGAS;CGAS5;127,09;9,8262;10,1231;6,4956;1,3;8,4125;21,52;15,76;10,42;1,0236;8,0207;-2,2266;1,27;103,02;13,23;27,93;3,15;2,02;0,13;0,87;1,64;-0,63429606;15,66;111992,38;12,5545;12,9338;16565073375,0;12,1195;13,72
624;EMPREENDIMENTOS PAGUE MENOS S.A.;PGMN3;3,78;17,1635;0,7445;3,3518;0,2083;5,3906;32,06;5,9;1,15;0,1979;1,2856;-0,4201;1,05;4,34;1,21;14,13;0,45;2,04;0,28;0,72;1,47;-0,37325674;6,32;3199282,81;5,077;0,2202;1677492414,36;4,9196;18,56
383;MMX MINERACAO E METALICOS;MMXM3;14,0;-2,1669;-0,1078;-181,3065;0,7096;-719,572;;;;;-0,1031;-0,7521;0,0;-4,97;-32,75;0,28;;-538,27;-6,58;7,6;0,01;0,02816202;-6,95;;-129,8763;-6,461;90834562,0;;
324;ALFA HOLDINGS;RPAD6;6,24;8,3928;0,4929;9,256;0,4908;8,7575;;;;;8,47;-0,5233;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,03671551;;3968,89;12,6595;0,7435;565432453,92;0,0123;4,39
324;ALFA HOLDINGS;RPAD3;6,91;9,2939;0,5458;10,2499;0,5435;8,7575;;;;;9,3794;-0,5795;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,04065772;;2602,67;12,6595;0,7435;565432453,92;0,0101;4,39
324;ALFA HOLDINGS;RPAD5;6,4;8,608;0,5055;9,4934;0,5034;8,7575;;;;;8,6872;-0,5367;0,0;5,87;5,85;5,26;-0,06;-1,15;1,0;0,0;14,72;0,03765693;;4283,8;12,6595;0,7435;565432453,92;8,9659;4,39
249;SMILES;SMLS3;22,4;10,7799;4,0919;10,1675;1,017;9,9309;85,18;41,42;39,07;4,2118;18,7779;-2,5439;0,24;37,96;9,43;24,47;-0,1;-0,24;0,25;0,75;1,1;-0,32678803;;;5,4743;2,0779;2781160547,2;;
260;TECHNOS;TECN3;2,36;4,8463;0,5129;2,9679;0,2784;3,5429;53,19;16,71;10,23;0,496;0,5599;-0,7929;0,56;10,58;5,74;11,98;0,1;0,58;0,54;0,46;4,28;0,02657066;-2,72;911353,26;4,6009;0,487;175834667,4;3,4748;
224;LOJAS RENNER;LREN3;19,77;15,7788;1,9753;14,8945;0,929;14,1254;59,71;9,89;9,33;1,4726;3,2931;-2,5296;0,63;12,52;5,89;9,38;-0,1;-0,77;0,47;0,53;1,8;0,13627408;10,38;310981624,15;10,0087;1,2529;19339547651,61;3,3741;14,42
242;TECNISA;TCSA3;2,71;-2,7069;0,3467;-4,4904;0,1291;-14,4411;8,42;-24,28;-40,28;1,0903;0,3689;-0,2663;0,12;-12,81;-4,77;-4,1;0,77;-9,95;0,37;0,57;3,12;0,05117653;-15,57;1715570,26;7,8174;-1,0012;199508113,3;;
450;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQPA3;6,08;9,7096;3,0876;6,8668;1,0569;8,0528;32,24;22,63;16,01;1,5542;7,9769;-1,6755;0,68;31,8;10,88;19,7;0,53;1,18;0,34;0,66;1,56;0,20578476;12,16;27690,44;1,9691;0,6262;13450765089,76;7,9931;31,52
450;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQPA5;8,64;13,7978;4,3877;9,7581;1,5019;8,0528;32,24;22,63;16,01;2,2086;11,3356;-2,3809;0,68;31,8;10,88;19,7;0,53;1,18;0,34;0,66;1,56;0,29243097;12,16;864,0;1,9691;0,6262;13450765089,76;5,6248;31,52
450;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQPA6;10,48;16,7362;5,3221;11,8362;1,8217;8,0528;32,24;22,63;16,01;2,6789;13,7497;-2,8879;0,68;31,8;10,88;19,7;0,53;1,18;0,34;0,66;1,56;0,35470793;12,16;;1,9691;0,6262;13450765089,76;4,6372;31,52
450;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;EQPA7;8,0;12,7757;4,0627;9,0353;1,3906;8,0528;32,24;22,63;16,01;2,045;10,496;-2,2045;0,68;31,8;10,88;19,7;0,53;1,18;0,34;0,66;1,56;0,27076942;12,16;8500,0;1,9691;0,6262;13450765089,76;6,0748;31,52
408;PETROBRAS;PETR3;28,7;2,1212;1,005;1,2702;0,3951;2,0827;51,31;47,78;28,61;0,6069;15,9174;-0,4749;0,65;47,38;18,63;31,73;0,69;0,87;0,39;0,61;1,17;0,06913625;9,88;397470763,41;28,5559;13,5299;357122770103,96;58,4619;
408;PETROBRAS;PETR4;25,62;1,8936;0,8972;1,1339;0,3527;2,0827;51,31;47,78;28,61;0,5418;14,2092;-0,424;0,65;47,38;18,63;31,73;0,69;0,87;0,39;0,61;1,17;0,06171675;9,88;1693074317,26;28,5559;13,5299;357122770103,96;65,4902;
434;SINQIA;SQIA3;17,1;52,9958;1,919;26,2949;0,9915;28,8649;40,94;10,31;5,12;2,7111;37595,193;-1,1881;0,37;3,62;1,87;4,12;0,19;2,57;0,52;0,48;1,0;0,3692338;33,05;10299343,44;8,9107;0,3227;1503807721,2;0,3889;27,93
456;CELPE;CEPE3;125,26;112,6018;6,5817;11,2602;0,6957;18,1307;17,92;10,39;1,04;1,1699;5,7798;-0,9912;0,59;5,85;0,62;8,7;4,51;7,72;0,11;0,89;1,68;-1,39365662;12,45;;19,0317;1,1124;8638460288,58;3,4259;
456;CELPE;CEPE5;40,12;36,0657;2,1081;3,6066;0,2228;18,1307;17,92;10,39;1,04;0,3747;1,8512;-0,3175;0,59;5,85;0,62;8,7;4,51;7,72;0,11;0,89;1,68;-0,44637956;12,45;6418,0;19,0317;1,1124;8638460288,58;10,6961;
456;CELPE;CEPE6;43,0;38,6546;2,2594;3,8655;0,2388;18,1307;17,92;10,39;1,04;0,4016;1,9841;-0,3403;0,59;5,85;0,62;8,7;4,51;7,72;0,11;0,89;1,68;-0,47842276;12,45;6183,0;19,0317;1,1124;8638460288,58;10,9777;
773;GETNINJAS;NINJ3;3,02;-6,8592;0,5466;-2,9225;0,5051;2,4216;90,79;-88,25;-37,6;2,5789;0,5775;-9,3802;0,2;-7,97;-7,36;-18,62;-1,0;5,34;0,92;0,08;13,24;0,17178896;;279532,85;5,5255;-0,4403;151678331,26;;
761;HOSPITAL MATER DEI SA;MATD3;9,25;29,8146;2,1575;12,1362;0,7332;14,6778;36,6;18,93;7,71;2,2976;4,5952;-0,9785;0,32;7,24;2,46;8,04;0,45;2,54;0,34;0,64;2,75;-3,46426157;;4659605,59;4,2874;0,3103;3536550844,25;0,9732;
315;ALIANSCSONAE;ALSO3;17,62;36,1761;1,5077;17,297;0,8467;12,9328;70,92;55,69;26,63;9,6331;4,3755;-1,1416;0,09;4,17;2,34;7,18;-0,38;-4,36;0,56;0,35;3,98;0,47903286;22,33;60930235,11;11,6867;0,4871;10439386135,88;2,179;24,54
681;CRUZEIRO DO SUL EDUCACIONAL S.A.;CSED3;3,25;25,7559;0,8446;3,4438;0,2553;3,8577;47,12;17,73;2,37;0,6106;2,236;-0,3408;0,42;3,28;0,99;13,91;0,1;0,41;0,3;0,7;1,84;-0,57612586;;2262864,56;3,848;0,1262;1215651840,0;4,0293;
584;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;TPIS3;0,9;-58,0007;0,1611;0,6098;0,0503;7,0688;29,86;22,76;-0,24;0,1388;-0,549;-0,0536;0,36;-0,28;-0,09;6,73;1,71;6,46;0,31;0,69;0,4;0,57461219;-7,49;837323,22;5,5866;-0,0155;158400000,0;2,0765;
796;CLEAR SALE S.A.;CLSA3;4,55;-9,8768;1,1551;-6,2544;0,9274;-2,9805;29,74;-27,91;-17,67;1,7456;1,5565;-3,617;0,53;-11,69;-9,39;-17,65;-0,6;3,27;0,8;0,2;5,03;-0,04235496;;2462577,93;3,9391;-0,4607;855063573,0;;
326;BANCO BANESTES;BEES4;7,15;6,7545;1,1575;4,3073;0,0579;3,9284;26,53;12,39;7,9;0,5338;0,3597;-0,069;0,11;17,14;0,86;;;;0,05;0,95;;0,17016391;-6,14;34268,85;6,1771;1,0586;2060111789,0;8,226;18,07
326;BANCO BANESTES;BEES3;6,29;5,942;1,0183;3,7892;0,0509;3,9284;26,53;12,39;7,9;0,4696;0,3164;-0,0607;0,11;17,14;0,86;;;;0,05;0,95;;0,14969664;-6,14;187979,89;6,1771;1,0586;2060111789,0;9,3507;18,07
631;CURY CONSTRUTORA E INCORPORADORA S.A.;CURY3;12,59;10,7494;5,6671;8,3301;1,2595;7,6931;36,97;20,35;15,77;1,6949;4,8356;-4,7739;0,74;52,72;11,72;32,53;-0,43;-0,64;0,22;0,73;1,55;0,0465596;;17971095,48;2,2216;1,1712;3674707357,92;5,7373;
280;BRASILAGRO;AGRO3;28,65;6,4573;1,3236;5,0619;0,8768;5,3585;39,39;33,72;26,43;1,7069;2,6554;-1,6697;0,51;20,5;13,58;16,13;0,08;0,3;0,66;0,34;3,28;0,95691532;59,78;10428739,93;21,646;4,4368;2933101279,2;18,3419;75,47
207;RUMO;RAIL3;17,71;-296,1156;2,1803;15,746;0,7214;20,6333;29,59;22,83;-1,21;3,5951;7,1471;-0,9286;0,2;-0,74;-0,24;6,35;0,68;4,89;0,33;0,66;1,83;2,4538364;11,53;172845028,96;8,1228;-0,0598;32837152188,61;0,109;
437;TELEBRAS;TELB3;14,01;-7,9782;0,7302;-20,5047;0,3018;-2,8184;-54,22;-17,16;-44,11;3,5193;1,0022;-0,4842;0,09;-9,15;-3,78;-3,22;-0,58;16,26;0,41;0,59;4,98;-1,4326239;38,5;24948,89;19,1875;-1,756;1126288931,94;;
437;TELEBRAS;TELB4;9,45;-5,3814;0,4925;-13,8308;0,2036;-2,8184;-54,22;-17,16;-44,11;2,3738;0,676;-0,3266;0,09;-9,15;-3,78;-3,22;-0,58;16,26;0,41;0,59;4,98;-0,96633089;38,5;39071,38;19,1875;-1,756;1126288931,94;;
486;LOG COMMERCIAL PROPERTIES;LOGG3;16,77;3,9897;0,4711;3,4133;0,2797;6,5314;98,52;260,16;222,57;8,8799;9,9348;-0,3133;0,03;11,81;7,01;8,78;0,43;3,12;0,59;0,39;1,36;0,11167293;9,07;5578368,37;35,5939;4,2033;1713209012,58;5,1678;64,5
741;ELETROMIDIA S.A.;ELMD3;12,45;-212,5622;2,368;22,1516;0,8942;29,1496;32,37;11,24;-1,17;2,4908;-11,7701;-1,0577;0,36;-1,11;-0,42;4,51;0,75;7,0;0,38;0,55;0,67;2,71506246;;4018229,81;5,2575;-0,0586;1742797724,85;;
227;CONSTRUTORA ADOLPHO LINDENBERG;CALI3;9,26;6,9009;7,375;2,4839;0,1486;10,5195;32,09;14,44;5,2;0,3587;0,2998;-0,4764;0,41;106,87;2,15;9,96;23,86;8,04;0,02;0,98;3,58;-0,31582985;21,88;2047,57;1,2556;1,3419;34456191,46;46,6509;3,49
227;CONSTRUTORA ADOLPHO LINDENBERG;CALI4;50,0;37,2619;39,822;13,4118;0,8026;10,5195;32,09;14,44;5,2;1,9367;1,6186;-2,5723;0,41;106,87;2,15;9,96;23,86;8,04;0,02;0,98;3,58;-1,70534477;21,88;;1,2556;1,3419;34456191,46;8,6398;3,49
473;ENGIE BRASIL;EGIE3;37,36;16,4748;3,7891;6,0202;0,7681;8,9634;52,31;43,75;15,99;2,6338;15,7786;-1,0062;0,29;23,0;4,66;17,82;1,85;2,94;0,2;0,8;1,26;-0,62237027;14,25;64892572,52;9,8599;2,2677;30483060366,4;8,0017;3,64
740;ORIZON VALORIZACAO DE RESIDUOS S.A.;ORVR3;40,4;-45,7382;6,6345;25,7596;1,7464;30,7916;35,76;18,62;-10,48;4,7953;27,9757;-2,236;0,36;-14,51;-3,82;5,02;1,3;5,03;0,26;0,73;1,4;10,35662434;;16096470,15;6,0894;-0,8833;2888598788,0;;
174;MILLS;MILS3;10,9;12,629;2,2303;9,5444;1,3571;10,0506;61,32;28,58;21,6;2,7279;5,2687;-2,244;0,5;17,66;10,75;12,23;0,12;0,51;0,61;0,39;2,87;0,05740537;13,23;8783982,07;4,8872;0,8631;2684766530,4;2,4062;
299;CIA BRASILEIRA DE DISTRIBUIÇÃO;PCAR3;18,38;2,9104;0,3667;3,3234;0,1144;5,9994;25,35;3,28;3,75;0,1091;5,6358;-0,168;1,05;12,6;3,93;4,49;0,3;2,68;0,31;0,63;1,07;0,51651747;4,35;64836946,3;50,1186;6,3153;4965156088,22;1,9285;
299;CIA BRASILEIRA DE DISTRIBUIÇÃO;PCAR4;72,11;11,4184;1,4388;13,0386;0,4489;5,9994;25,35;3,28;3,75;0,428;22,1109;-0,6593;1,05;12,6;3,93;4,49;0,3;2,68;0,31;0,63;1,07;2,02644584;4,35;;50,1186;6,3153;4965156088,22;;
436;OI;OIBR4;3,07;-0,6892;-0,8876;-0,6041;0,0415;-5,7298;-3,45;-28,92;-25,35;0,1747;0,5536;-0,0576;0,24;-128,78;-6,02;-30,36;;-5,47;-0,05;1,05;1,37;0,01490691;-16,61;1889285,48;-3,4586;-4,4541;860531349,14;;
436;OI;OIBR3;1,26;-0,2829;-0,3643;-0,2479;0,017;-5,7298;-3,45;-28,92;-25,35;0,0717;0,2272;-0,0236;0,24;-128,78;-6,02;-30,36;;-5,47;-0,05;1,05;1,37;0,00611815;-16,61;49461473,33;-3,4586;-4,4541;860531349,14;;
443;SANEPAR;SAPR11;17,31;4,6194;0,6222;2,9607;0,3236;5,0442;57,67;31,66;20,29;0,9373;5,8004;-0,3805;0,35;13,47;7,01;10,32;0,44;2,08;0,52;0,48;1,6;-11,83482323;8,4;16557716,41;27,8216;3,7472;5231793506,78;8,715;12,56
443;SANEPAR;SAPR3;3,28;4,3766;0,5895;2,8051;0,3066;5,0442;57,67;31,66;20,29;0,8881;5,4955;-0,3605;0,35;13,47;7,01;10,32;0,44;2,08;0,52;0,48;1,6;-11,21265748;8,4;947355,41;5,5643;0,7494;5231793506,78;8,5172;12,56
