companyId;companyName;ticker;price;gestao;dy;p_vp;valorpatrimonialcota;liquidezmediadiaria;percentualcaixa;dividend_cagr;cota_cagr;numerocotistas;numerocotas;patrimonio;lastdividend
31;Castello Branco Office Park;CBOP11;46,02;Passiva;14,5154;0,6234;73,82;34426,04;2,802;4,403;-20,3287;3655,0;1415000,0;104458062,96;0,12
735;VENUS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;SALI11;0,0;Passiva;0,0;;101,3;;4,2518;;;1,0;79565,0;8059821,59;
753;PERFORMA REAL ESTATE;PEMA11;50,0;Ativa;15,1988;0,6551;76,33;2449,58;0,7296;;;389,0;552000,0;42136735,56;0,56
670;KILIMA FIC FDO. IMOB. SUNO 30;KISU11;7,99;Ativa;11,2923;0,914;8,72;826977,43;2,2264;;;111429,0;44196050,0;385223962,34;0,075
43;Projeto Água Branca;FPAB11;135,0;Passiva;14,237;0,36;375,02;19658,15;1,7924;-2,8784;-29,5444;911,0;750000,0;281261368,63;1,65
55;Cyrela Thera Corporate;THRA11;138,5;Passiva;0,0;14,5178;9,54;;140,4662;90,7344;-2,4827;2084,0;1472728,0;14050683,35;0,13
96;XP Industrial;XPIN11;72,16;Ativa;9,4751;0,6969;103,89;454768,21;4,1073;0,1339;-16,4643;46626,0;7150422,0;742845477,53;0,65
542;QUASAR AGRO - FDO INV. IMOB.;QAGR11;42,1;Ativa;11,4347;0,7564;55,84;270688,04;1,5905;8,8478;-25,96;24653,0;5040000,0;281454019,9;0,42
845;BASÍLICA PARTNERS LED CORPORATE FDO INV IMOB FII;BPLC11;0,0;Ativa;0,0;;10268,52;;4,0309;;;114,0;32000,0;328592540,71;13,80890045
932;JACARANDÁ 02 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;JCDB11;0,0;Ativa;0,0;;139,04;;0,4984;;;57,0;769499,0;106990753,66;
138;Hedge Top FOFII 3;HFOF11;64,49;Ativa;11,3848;0,7982;80,88;1676700,54;0,8763;-2,9467;-18,1626;69478,0;23012000,0;1861309846,51;0,63
92;Rio Bravo Crédito Imobiliário I;RBCB11;19,0;Ativa;0,0;;0,0;;;-15,0371;-4,7693;462,0;53100,0;0,0;0,3
507;FDO INV IMOB OURINVEST LOGÍSTICA;OULG11;39,96;Ativa;3,2283;0,5972;66,91;70905,36;2,2587;-20,2494;-28,2493;5299,0;2481284,0;166011124,95;0,41
826;CSÃO FRANCISCO 34;SFRO11;0,0;Passiva;0,0;;5,93;;102,5296;;;20,0;875758,0;5191438,53;
692;BTSP I FDO. INVEST. IMOB;BTSG11;100,0;Ativa;9,99;0,7264;137,67;100,0;0,7672;;;56,0;775015,0;106695683,55;0,86
605;RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO;RBRL11;71,17;Ativa;10,9211;0,663;107,26;576990,82;1,5019;;;9896,0;6687035,0;717254779,29;0,65
842;PANORAMA LAST MILE SBC FDO INV IMOB;PNLN11;0,0;Ativa;0,0;;44,84;;64,5718;;;51,0;9831,0;440836,19;
616;FDO. INV. IMOB. VBI PRIME PROPERTIES;PVBI11;88,53;Ativa;7,6732;0,8584;103,39;2921448,79;1,0166;;;83814,0;10039493,0;1037934528,45;0,61
15;Multi Properties FII;PRTS11;117,7;Ativa;0,0466;1961,6667;0,06;;103,361;;;11,0;55727500,0;3111607,44;0,054870475
157;FII REC Recebíveis Imobiliários;RECR11;86,25;Ativa;14,4265;0,9052;95,33;3410888,75;4,1878;0,0791;-6,5953;182297,0;26441650,0;2520732971,92;0,99
118;Shopping Patio Higienopolis;SHPH11;692,2;Passiva;6,2467;0,7741;894,18;110593,44;0,7573;4,5267;-10,561;2631,0;608950,0;544508819,31;3,4
736;VERSALHES RECEBÍVEIS IMOBILIÁRIOS;VSLH11;7,51;Ativa;17,4397;0,7159;10,42;884293,14;1,23;;;91879,0;29864091,0;311206632,02;0,11
24;Hotel Maxinvest;HTMX11;106,92;Ativa;5,5566;0,7626;140,35;312767,75;3,9551;13,255;-12,8055;25639,0;1504334,0;211128423,78;0,739078369
700;FDO INV IMOB MV9;MVFI11;0,0;Ativa;0,0;;1,51;;1,1568;;;1,0;78155673,0;118190085,44;
1;BTG Pactual Corporate Office;BRCR11;55,24;Ativa;10,4423;0,5527;99,81;1561067,86;1,1746;0,514;-21,642;156823,0;26638202,0;2658696034,5;0,47
943;FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS;SNEL11;100,0;Ativa;0,0;1,0456;95,64;;26,878;;;3363,0;500026,0;47820574,86;
68;CGHG Logística;HGLG11;160,45;Ativa;10,2701;1,043;154,03;4730841,36;5,3724;14,3675;-3,539;334810,0;23456675,0;3612959934,52;1,1
