companyId;companyName;ticker;price;gestao;dy;p_vp;valorpatrimonialcota;percentualcaixa;dividend_cagr;cota_cagr;numerocotistas;numerocotas;patrimonio;lastdividend;liquidezmediadiaria
55;Cyrela Thera Corporate;THRA11;138,5;Passiva;0,0;14,5178;9,54;140,4662;90,7344;-3,074;2084,0;1472728,0;14050683,35;0,13;
92;Rio Bravo Crédito Imobiliário I;RBCB11;19,0;Ativa;0,0;;0,0;;-15,0371;-4,7837;462,0;53100,0;0,0;0,3;
826;CSÃO FRANCISCO 34;SFRO11;0,0;Passiva;0,0;;5,93;102,5296;;;20,0;875758,0;5191438,53;;
1;BTG Pactual Corporate Office;BRCR11;55,08;Ativa;10,512;0,5518;99,81;1,1746;0,0787;-21,1069;156823,0;26638202,0;2658696034,5;0,47;1675992,91
15;Multi Properties FII;PRTS11;117,7;Ativa;0,0466;1961,6667;0,06;103,361;;;11,0;55727500,0;3111607,44;0,054870475;
85;Campus Faria Lima;FCFL11;113,9;Ativa;8,645;0,9805;116,17;0,5581;14,3239;-5,3907;3830,0;3474010,0;403588183,44;0,780270488;243505,48
610;VINCI INSTRUMENTOS FINANCEIROS;VIFI11;6,78;Ativa;10,944;0,7661;8,85;6,9402;;;6807,0;8089190,0;71609024,11;0,065;96587,04
48;The One;ONEF11;173,11;Passiva;6,3774;0,8594;201,44;1,0608;13,6034;1,5098;3328,0;911000,0;183514122,94;0,98;69405,52
114;Parque Dom Pedro Shopping Center;PQDP11;2070,0;Passiva;8,8813;0,6606;3133,68;2,1141;7,1721;-17,0135;4030,0;245513,0;769360230,91;10,377823373;84000,39
597;FDO. INV. IMOB. MOGNO HOTEIS;MGHT11;59,5;--;15,1261;0,6953;85,58;7,8077;;;2511,0;1313784,0;112437059,49;0,65;67900,13
849;RBR PREMIUM RECEBÍVEIS IMOBILIÁRIOS FDO INV IMO;RPRI11;90,93;Ativa;13,7116;0,9041;100,58;12,0809;;;2746,0;2241755,0;225470219,85;1,2;189089,96
914;RBR PLUS MULTIESTRATÉGIA REAL ESTATE FII;RBRX11;86,42;Ativa;12,3442;0,929;93,02;3,8809;;;3359,0;1880688,0;174936153,33;1,5;524787,65
666;HSI RENDA IMOB;HSRE11;103,09;Ativa;6,9939;1,0734;96,04;2,1785;;;179,0;8518064,0;818075904,09;0,63;2310365,92
551;XP PROPERTIES FDO. INV. IMOB.;XPPR11;32,29;Ativa;13,3168;0,4339;74,41;1,9535;-18,0043;-32,9249;68393,0;7316171,0;544417957,95;0,3;424259,78
155;BB Renda de Papéis Imobiliários;RNDP11;148,49;Ativa;21,5166;0,768;193,35;4,9225;-8,2745;-47,0371;1107,0;107481,0;20781882,83;0,82;10576,22
818;FDO DE INV IMOB MAUA CAPITAL MPD DESENV RESID;MMPD11;0,0;Ativa;0,0;;103,23;2,4219;;;48,0;530000,0;54713644,61;;
152;RBR Rendimento High Grade;RBRR11;83,58;Ativa;14,5609;0,8885;94,07;1,7165;23,2772;-7,9272;128356,0;13438908,0;1264255002,92;0,90401616;4505204,61
575;FDO INV IMOB - V2 PROPERTIES;VVPR11;101,5;Ativa;6,2683;1,0354;98,03;1,2707;;-2,7305;1372,0;2305771,0;226032234,18;0,892339668;1249061,55
782;JFDCAM FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;VJFD11;0,0;Ativa;0,0;;136,07;1,2526;;;97,0;4876129,0;663487214,82;1,025;
712;HGI CRÉDITOS IMOBILIÁRIOS;HGIC11;105,98;Ativa;11,238;0,9238;114,72;23,749;;;392,0;462706,0;53081054,91;1,1;19600,57
688;BLUEMACAW RENDA + FOF;BLMR11;6,33;Ativa;14,1046;0,8178;7,74;2,6342;;;16954,0;25541630,0;197728483,87;0,065;368191,39
14;Panamby;PABY11;13,33;Passiva;0,0;;-15,92;;;-7,9668;710,0;758400,0;-12075566,9;;3133,35
662;BB FUNDO DE FUNDOS;BBFO11;65,47;Passiva;13,6246;0,8011;81,73;0,5268;;;5115,0;4003900,0;327245700,55;0,77;187202,43
932;JACARANDÁ 02 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;JCDB11;0,0;Ativa;0,0;;139,04;0,4984;;;57,0;769499,0;106990753,66;;
685;ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB;ALZM11;84,62;Ativa;14,9379;0,9143;92,55;3,136;;;3470,0;691192,0;63970097,23;1,05;141870,04
916;VINCI VIFI 2 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;VLIQ11;0,0;Ativa;0,0;;0,0;;;;1,0;0,0;0,0;;
10;JS Real Estate Multigestão;JSRE11;63,84;Ativa;9,2716;0,5651;112,97;0,0835;0,6215;-18,6312;84893,0;20767328,0;2346073475,07;0,49;2732465,78
713;INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO;ITIP11;77,0;Passiva;14,0909;0,9614;80,09;1,1953;;;2559,0;748151,0;59916768,98;0,85;70655,39
754;FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I;ROOF11;770,0;Ativa;5,133;1,1118;692,54;12,0927;;;73,0;77495,0;53668144,93;7,91991313;1545,33
148;Polo Recebíveis Imobiliários I;PLRI11;23,81;Ativa;13,5248;0,7404;32,16;2,5693;6,7119;-24,3426;798,0;954304,0;30687942,15;0,10912986;4325,85
113;Malls Brasil Plural;MALL11;101,37;Ativa;8,9178;0,8454;119,91;2,7311;27,4175;-4,5886;110158,0;9124659,0;1094178737,27;0,78;1497174,78
780;FDO. INVEST. IMOB. DEVANT FOF IMOBILIÁRIOS;DVFF11;72,2;Ativa;12,4238;0,7925;91,1;5,6355;;;679,0;1100950,0;100294718,52;0,8;19703,17
531;FDO INV IMOB - OURINVEST FUNDO DE FUNDOS;OUFF11;61,56;Ativa;14,0188;0,8111;75,9;1,3549;3,8939;-16,3043;8390,0;1814336,0;137707552,5;0,7000001433;182526,61
16;RB Capital Renda II;RBRD11;35,32;Passiva;13,2786;0,5336;66,19;3,2527;-39,9975;-30,1728;9811,0;1851786,0;122562166,9;0,32;33727,09
942;ZAVIT REAL ESTATE FUND;ZAVI11;126,0;Ativa;3,6016;0,9652;130,54;4,9178;;;87,0;926518,0;120945363,44;1,0;43208,0
920;SPX SYN MULT;SPXS11;85,0;Ativa;3,3799;0,9006;94,38;20,573;;;1898,0;1238196,0;116859064,5;0,614;247912,04
125;Áquilla Renda;ARFI11B;479,99;Ativa;0,0;0,7365;651,7;1,5241;;;28,0;114054,0;74329618,05;;
811;FDO DE INVEST IMOB GUARDIAN MULTIESTRATÉGIA I;GAME11;8,8;Ativa;16,5909;0,8952;9,83;0,201;;;18758,0;21697877,0;213370670,49;0,1;101263,65
736;VERSALHES RECEBÍVEIS IMOBILIÁRIOS;VSLH11;7,11;Ativa;18,2982;0,6823;10,42;1,23;;;91879,0;29864091,0;311206632,02;0,07;939844,35
22;Hospital Nossa Sra Lourdes;NSLU11;164,0;Passiva;6,5199;0,8245;198,92;2,9568;-13,5296;-14,1221;6692,0;1293286,0;257258460,43;1,554563398;129103,13
733;VALORA HEDGE FUND;VGHF11;8,99;Ativa;15,6841;0,9814;9,16;1,8752;;;206209,0;72889247,0;667476760,64;0,1;2060506,57
133;Capitania Securities II;CPTS11;78,39;Ativa;14,8616;0,8832;88,76;0,1382;8,7425;-10,2688;202917,0;31782814,0;2821089520,99;0,58;6569897,96
607;URCA PRIME RENDA;URPR11;99,45;Ativa;17,9135;1,0065;98,81;11,5721;;;90383,0;11675248,0;1153576868,52;1,25;2313930,57
927;CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO;CFII11;0,0;Ativa;0,0;;976,89;19,7726;;;51,0;27380,0;26747146,02;;
128;BTG Fundo de Fundos;BCFF11;63,37;Ativa;10,5097;0,8575;73,9;6,0668;5,8857;-13,3784;309704,0;25186378,0;1861188611,83;0,56;2403383,26
781;PRAZO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;PRZS11;0,0;Ativa;0,0;;159,01;0,3198;;;20,0;653228,0;103869204,74;;
921;WARREN SECURITIES FDO DE INV IMOB;WSEC11;95,96;Ativa;2,97;0,9438;101,67;11,0318;;;455,0;245651,0;24976300,94;0,95;15924,6
748;FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT;LKDV11;969,58;Ativa;0,0;0,9703;999,28;1,6843;;;68,0;66811,0;66762696,78;;775664,0
513;FDO INV IMOB - FII UBS (BR) OFFICE;RECT11;51,5;Ativa;11,7322;0,5497;93,68;2,3978;-13,4014;-20,4441;78094,0;8543493,0;800339792,56;0,5021;488854,17
935;SUPREMO FUNDO DE INVESTIMENTO IMOBILIÁRIO;SPMO11;99,0;Ativa;0,4343;1,0666;92,82;0,216;;;6,0;1807730,0;167794487,96;0,43;327,67
699;FDO INV IMOB CJ;CJFI11;0,0;Ativa;0,0;;2,59;1,1591;;;1,0;52601278,0;136316500,62;;
693;DEL MONTE AJAX FDO INV IMOB;DLMT11;0,0;Ativa;0,0;;0,66;3,0204;;;9,0;13225796,0;8693492,33;0,01298;
147;Ourinvest Cyrela;OURE11;78,26;Ativa;15,3974;0,8597;91,03;1,1004;17,2183;-8,5986;5595,0;1077087,0;98047917,89;1,0000000186;120142,52
622;PÁTRIA LOGÍSTICA;PATL11;64,66;Ativa;10,764;0,659;98,12;0,8039;;;23983,0;4991535,0;489747951,31;0,58;881597,96
65;Infra Real State;FINF11;0,0;Ativa;0,0;;40,6;2,9;-1,3932;;4,0;820112,0;33300079,6;0,254518;
580;CAPITÂNIA REIT FOF - FDO. INVEST. IMOB;CPFF11;60,9;Ativa;12,1511;0,788;77,28;0,2701;;-16,3648;12598,0;5449778,0;421169425,58;0,6;270046,0
623;GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.;GCFF11;69,0;Ativa;13,087;0,8479;81,38;0,3872;;;1970,0;338598,0;27556240,23;0,72;22877,61
535;FDO INV. IMOB. PLURAL RECEBIVEIS;PLCR11;83,23;Ativa;15,6194;0,9177;90,69;15,0046;34,8619;-4,4971;13073,0;2109169,0;191280744,07;1,0;379296,17
27;BB Progressivo II;BBPO11;85,0;Passiva;12,7882;0,8457;100,51;3,5867;-5,4039;-19,2128;73513,0;15919690,0;1600075310,12;0,9;1413962,78
5;Continental Square Faria Lima;FLMA11;128,02;Ativa;7,9831;0,7989;160,25;2,0643;27,7669;-12,3903;17204,0;1380670,0;221247463,81;1,02;54649,3
96;XP Industrial;XPIN11;72,27;Ativa;10,3639;0,6956;103,89;4,1073;0,1339;-19,0022;46626,0;7150422,0;742845477,53;0,65;477983,17
20;Ourinvest RE I;WTSP11B;36,0;Ativa;3,1422;0,4967;72,48;0,8873;-5,0368;-19,8811;200,0;992565,0;71939973,82;0,49650033;84341,95
87;Hospital Unimed Sul Capixaba;HUSC11;105,0;Passiva;9,7905;0,7155;146,75;0,6794;5,5494;-12,8901;766,0;794613,0;116606431,0;0,87;6854,15
139;CGHG Recebíveis Imobiliários;HGCR11;100,85;Ativa;13,8324;0,9989;100,96;2,7683;27,884;-4,2822;80122,0;15418106,0;1556674946,53;1,2;4197541,65
718;MULTIOFFICES 1;MTOF11;0,0;Ativa;0,0;;101,49;0,9923;;;3,0;1880743,0;190881272,45;;
89;RIO BRAVO OPORTUNIDADES IMOBILIÁRIAS FII;RBOP11;556,01;Ativa;23,1561;0,7216;770,49;7,0479;8,8974;-24,8513;3646,0;101664,0;78331485,01;8,25;66145,35
66;GGR Covepi Renda;GGRC11;103,4;Ativa;10,9091;0,8314;124,37;2,7133;9,5062;-9,2849;102314,0;7894945,0;981911300,68;0,95;2052090,57
735;VENUS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;SALI11;0,0;Passiva;0,0;;101,3;4,2518;;;1,0;79565,0;8059821,59;;
807;FII CAIXA AGÊNCIAS;CXAG11;77,0;Ativa;12,0779;0,6716;114,65;1,229;;;11488,0;2090621,0;239691104,42;0,75;130481,17
687;BLUEMACAW LOGÍSTICA;BLMG11;71,14;Ativa;13,4945;0,7415;95,94;5,2318;;;12045,0;3810588,0;365577000,3;0,8;551179,83
524;HECTARE CE - FDO INV IMOB;HCTR11;98,5;Ativa;14,7919;0,8115;121,38;1,0671;-8,1828;-8,7172;209295,0;22084202,0;2680557317,01;1,1;3672610,48
589;TORDESILHAS EI FDO. INV. IMOB.;TORD11;5,63;Ativa;17,5222;0,4016;14,02;0,3545;;;111473,0;35051354,0;491383523,53;0,04;584781,87
611;VX XVI - FDO INV. IMOB.;VXXV11;973,0;Ativa;0,0;1,0516;925,22;0,2982;;;19,0;265282,0;245444984,55;10,76;2508251,0
809;EQI RECEBÍVEIS IMOBILIÁRIOS;EQIR11;9,4;Ativa;98,3304;0,9631;9,76;3,9037;;;2046,0;5025000,0;49065462,53;0,11;32892,22
528;EUROPA 105 - FDO INV IMOB;ERPA11;120,0;Passiva;4,3343;0,8755;137,07;1,0257;;;328,0;500922,0;68662057,03;0,69590699;82034,0
499;DOVEL FDO INV IMOB;DOVL11B;21,39;Ativa;263,8739;0,0179;1197,88;5,8356;;;52,0;66406,0;79546172,58;30,2103351423;
43;Projeto Água Branca;FPAB11;144,0;Passiva;13,3472;0,384;375,02;1,7924;-2,8784;-29,2126;911,0;750000,0;281261368,63;1,65;13714,0
605;RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO;RBRL11;71,66;Ativa;10,7675;0,6681;107,26;1,5019;;;9896,0;6687035,0;717254779,29;0,65;612784,43
808;CYRELA CRÉDITO;CYCR11;8,2;Ativa;16,1807;0,8595;9,54;17,7594;;;4866,0;16315840,0;155638522,77;0,095;279840,87
710;HBC RENDA URBANA;HBCR11;114,39;Ativa;5,3392;1,1214;102,01;4,0187;;;46,0;1000000,0;102009168,1;0,5044643707;1363,0
836;FUNDO DE INVESTIMENTO IMOBILIÁRIO – BLUE RECEBÍVEI;BLUR11;102,0;Ativa;10,098;1,0092;101,07;5,2018;;;82,0;90000,0;9096398,99;1,03;1009,36
497;DIAMANTE FDO INV IMOB;DAMT11B;15,0;Passiva;2,0848;1,1304;13,27;0,9325;;;559,0;7305341,0;96954733,25;0,1533380013;508,91
68;CGHG Logística;HGLG11;161,59;Ativa;10,211;1,0491;154,03;5,3724;14,3675;-5,5365;334810,0;23456675,0;3612959934,52;1,1;4842952,35
582;Newport Logística;NEWL11;98,99;Ativa;11,7487;0,8243;120,09;3,5601;9,2051;-7,8465;3914,0;2033099,0;244155118,31;0,93;123320,04
138;Hedge Top FOFII 3;HFOF11;65,2;Ativa;11,273;0,8061;80,88;0,8763;-2,9467;-18,5291;69478,0;23012000,0;1861309846,51;0,63;1680853,26
825;CSHG RESIDENCIAL FDO DE INV IMOB;HGRS11;0,0;Ativa;0,0;;101,61;12,9681;;;6,0;1492940,0;151704854,23;;
546;SANTANDER PAPEIS IMOB CDI FDO INV IMOB;SADI11;90,73;Ativa;13,4355;0,9161;99,04;1,9856;64,7704;-2,0308;8103,0;3180207,0;314970824,76;1,07;823716,09
925;KINEA PREMIUM PROPERTIES FDO INV IMOB;KNPR11;0,0;Ativa;0,0;;90,14;28,7727;;;594,0;579911,0;52273009,66;2,5;
594;FDO INV IMOB - FII PATEO BANDEIRANTES;PATB11;0,0;Ativa;0,0;;148,6;2,5345;;;57,0;3822328,0;568009599,79;6,473025054;
901;BRIO REAL ESTATE IV;BIPD11;0,0;Ativa;0,0;;984,53;36,0493;;;108,0;18550,0;18263117,59;;
641;FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I;FATN11;94,0;Ativa;10,6383;0,9449;99,48;4,6012;;;895,0;1215179,0;120889909,57;0,92;60557,61
80;Banrisul Novas Fronteiras;BNFS11;122,57;Ativa;13,9275;1,341;91,4;6,1209;14,2979;-1,8166;3955,0;700000,0;63979435,37;1,32876722;46768,3
134;FII BTG PACTUAL CRÉDITO IMOBILIÁRIO;BTCI11;8,82;Ativa;136,5932;0,0974;90,57;7,0955;13,4422;-57,0344;36232,0;11057908,0;1001470167,13;0,95;937881,87
595;FDO INV IMOB VOTORANTIM SECURITIES;VSEC11;46,25;Ativa;8,0865;0,4263;108,49;67,359;;;77,0;62735,0;6805915,09;0,13;3876,0
505;LOFT I - FDO INV IMOB;LOFT11B;29,9;Ativa;0,0;1,7496;17,09;14,5446;;-34,3244;1,0;1962500,0;33545087,43;0,2017052052;
778;FDO DE INV IMOBILIÁRIO DE CRI INTEGRAL BREI;IBCR11;78,41;Ativa;18,1696;0,8349;93,92;8,6647;;;3939,0;958423,0;90019428,77;0,69;138542,09
42;Memorial Office;FMOF11;56,0;Passiva;0,8036;0,4722;118,59;1,5707;18,0078;-19,2207;280,0;508008,0;60243274,12;0,31;860,43
691;BTOWERS FII;BTWR11;105,49;Passiva;5,3225;0,9418;112,01;2,6633;;;64,0;809269,0;90648357,39;0,36;91670,5
746;GTIS BRAZIL LOGISTICS;GTLG11;98,0;Ativa;8,5714;1,0373;94,48;4,1131;;;129,0;7173000,0;677727013,77;0,7;430051,56
